lastname;firstname;EmployeeID;password;OU;Department;Description;Title
Mateux;Pierre;Pmateux;Esaip12345*;OU=Compta,OU=DepAdministratif,OU=DUAL,DC=IR3,DC=local;Administratif;Compta;Comptable
Monnet;Veronique;Vmonnet;Esaip12345*;OU=Finance,OU=DepAdministratif,OU=DUAL,DC=IR3,DC=local;Administratif;Finance;Responsable Finance
Vole;Katy;Kvole;Esaip12345*;OU=Finance,OU=DepAdministratif,OU=DUAL,DC=IR3,DC=local;Administratif;Finance;Financier
Trichet;Virginie;Vtrichet;Esaip12345*;OU=Finance,OU=DepAdministratif,OU=DUAL,DC=IR3,DC=local;Administratif;Finance;Financier
Criard;Ludivine;Lcriard;Esaip12345*;OU=Assistantes,OU=DUAL,DC=IR3,DC=local;Infrastruture;Infrastructure;Assistante Infrastructure
Merlet;Philippe;Pmerlet;Esaip12345*;OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;SR & DEV;Responsable ingenieur
Poulain;Eric;Epoulain;Esaip12345*;OU=Systeme,OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;SR & DEV;Admin SR
Payel ;Mickael;Mpayel;Esaip12345*;OU=Systeme,OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;SR & DEV;Admin SR
Karam;Francois;Fkaram;Esaip12345*;OU=DEV,OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;DEV;Developpeur
Groove;Christopher;Cgroove;Esaip12345*;OU=DEV,OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;DEV;Developpeur
Marchais ;Anthony;Amarchais;Esaip12345*;OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;HELPDESK;Responsable Helpdesk
Dubois;Moise;Mdubois;Esaip12345*;OU=HPDN1,OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;HELPDESK;Tech N1
Sauvaget;Bernard;Bsauvaget;Esaip12345*;OU=HPDN1,OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;HELPDESK;Tech N1
Collard;Sebastien;Scollard;Esaip12345*;OU=HPDN2,OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;HELPDESK;Tech N2
Djerbi;Sarah;Sdjerbi;Esaip12345*;OU=HPDN2,OU=DepInfrastructure,OU=DUAL,DC=IR3,DC=local;Infrastruture;HELPDESK;Tech N2
